id,pos,name
105,"(-0.1430911,51.5238028)",The Green Man
108042,"(-0.1355991,51.5235442)",The Jeremy Bentham
262706,"(-0.7251785,51.03503)",Kings Arms
262707,"(-0.854808,51.0439)",Flying Bull
262708,"(-0.726258,51.0244)",Duke of Cumberland
262709,"(-0.7791497,50.9932238)",Hamilton Arms
262710,"(-0.8770501,51.0305454)",Jolly Drover
262712,"(-0.71755,51.0495)",Red Lion
262713,"(-0.8179,51.0548045)",Black Fox Inn
262714,"(-0.805651,51.0359)",Rising Sun
262768,"(-0.8132431,50.9789995)",Elsted Inn
262779,"(-0.8069641,50.993369)",Keepers Arms
262780,"(-0.8824119,50.9700184)",The Ship
262781,"(-0.8504199,51.0083156)",White Horse
262801,"(-0.8832031,50.9695624)",White Hart
262816,"(-0.9500042,50.9766164)",Five Bells
262820,"(-0.9498667,51.0224274)",Cricketers Inn
271087,"(-1.6013252,50.8981609)",Trusty Servant Inn
271112,"(-1.5270942,50.8904874)",The New Forest
271144,"(-1.9742222,51.082736)",The Wyndham Arms
271179,"(-1.189166,51.0179819)",Milburys
271247,"(-1.7215,50.8958)",The High Corner Inn
271252,"(-1.3756161,51.0800762)",Plough Inn
271262,"(-1.6709581,50.9262557)",Royal Oak
271300,"(-1.5997844,50.7868975)",Hare and Hounds
271339,"(-1.8568512,51.3535391)",The Barge
271360,"(-2.0343697,51.0097183)",Crown Inn
271373,"(-1.4706524,51.0230922)",Newport Inn
271404,"(-1.5038697,50.8545729)",The Drift Inn
271421,"(-1.6192422,50.9131996)",Sir Walter Tyrrell
271448,"(-1.9900246,51.1390078)",Bell Inn
271466,"(-1.5494749,50.7837119)",The Red Lion
271490,"(-1.5114974,51.3072223)",The George Inn
279265,"(-1.5230923,50.8918946)",The Happy Cheese
376728,"(-1.7050619,51.806683)",Inn for All Seasons
451152,"(-0.1945732,51.6008172)",The Dignity
451154,"(-0.1960427,51.5996053)",The Catcher in the Rye
451271,"(-0.1765046,51.6141038)",The Tally Ho
560504,"(-1.2357353,51.7310912)",The Tree
581473,"(-1.5060469,53.6811457)",Henry Boons
581475,"(-1.4988685,53.6828125)",The Black Rock
585119,"(-1.2321564,51.7082465)",The Kings Arms
